Country,TotalRevenue,TotalCustomers,TotalOrders,TotalQuantity
United Kingdom,7285024.644,3921,16649,4254037
Netherlands,285446.34,9,95,200937
EIRE,265262.46,3,260,140383
Germany,228678.4,94,457,119156
France,208934.31,87,389,111429
Australia,138453.81,9,57,84199
Spain,61558.56,30,90,27944
Switzerland,56443.95,21,51,30083
Belgium,41196.34,25,98,23237
Sweden,38367.83,8,36,36078
Japan,37416.369999999995,8,19,26016
Norway,36165.44,10,36,19338
Portugal,33375.840000000004,19,57,16095
Finland,22546.08,12,41,10704
Singapore,21279.29,1,7,5241
Channel Islands,20440.54,9,26,9485
Denmark,18955.34,9,18,8235
Italy,17483.24,14,38,8112
Cyprus,13502.85,8,16,6340
Austria,10198.68,11,17,4881
Poland,7334.65,6,19,3684
Israel,7215.84,3,5,4043
Greece,4760.52,4,5,1557
Iceland,4310.0,1,7,2458
Canada,3666.38,4,6,2763
USA,3580.39,4,5,2458
Malta,2725.59,2,5,970
Unspecified,2660.77,4,8,1785
United Arab Emirates,1902.28,2,3,982
Lebanon,1693.88,1,1,386
Lithuania,1661.06,1,4,652
European Community,1300.25,1,4,499
Brazil,1143.6,1,1,356
RSA,1002.3100000000001,1,1,352
Czech Republic,826.74,1,2,671
Bahrain,548.4,2,2,260
Saudi Arabia,145.92,1,1,80
