DayOfWeek,Hour,Revenue
Friday,7,17284.88
Friday,8,52656.61
Friday,9,296376.831
Friday,10,182871.6
Friday,11,166546.63
Friday,12,229692.39
Friday,13,166967.81
Friday,14,159405.6
Friday,15,136863.93
Friday,16,43975.64
Friday,17,29971.16
Friday,18,75.5
Friday,19,373.04
Friday,20,19.19
Monday,7,1494.58
Monday,8,43343.39
Monday,9,123955.19
Monday,10,183627.12
Monday,11,160302.06
Monday,12,184573.4
Monday,13,225247.61000000002
Monday,14,187624.2
Monday,15,140756.89
Monday,16,74536.31999999999
Monday,17,38143.641
Sunday,9,778.8
Sunday,10,80945.72
Sunday,11,141532.1
Sunday,12,152903.71
Sunday,13,137280.88
Sunday,14,104196.381
Sunday,15,129053.66
Sunday,16,38799.07
Thursday,6,4.25
Thursday,7,6883.71
Thursday,8,67844.25
Thursday,9,134086.74
Thursday,10,273576.91
Thursday,11,170597.0
Thursday,12,285465.97000000003
Thursday,13,196112.66
Thursday,14,200940.16
Thursday,15,229527.65
Thursday,16,138245.01
Thursday,17,114274.81
Thursday,18,104372.86
Thursday,19,45301.96
Thursday,20,5781.79
Tuesday,7,2052.58
Tuesday,8,72383.27
Tuesday,9,164256.88
Tuesday,10,294899.041
Tuesday,11,260912.59
Tuesday,12,245024.38
Tuesday,13,211515.03
Tuesday,14,160735.04
Tuesday,15,167304.23
Tuesday,16,90360.21
Tuesday,17,27993.92
Tuesday,18,296.63
Wednesday,7,3343.46
Wednesday,8,45770.27
Wednesday,9,122937.9
Wednesday,10,243347.2
Wednesday,11,201287.22
Wednesday,12,276035.54
Wednesday,13,231600.21
Wednesday,14,179091.44
Wednesday,15,160053.32
Wednesday,16,81464.31
Wednesday,17,23428.06
Wednesday,19,2893.4
Wednesday,20,13031.5
