YearMonth,TotalRevenue,TotalOrders,TotalCustomers,TotalQuantity,AvgOrderValue
2010-12,570422.73,1400,885,311063,407.44480714285714
2011-01,568101.31,987,741,348522,575.58390070922
2011-02,446084.92,998,758,265043,446.978877755511
2011-03,594081.76,1321,974,347623,449.72124148372444
2011-04,468374.331,1149,856,291369,407.63649347258485
2011-05,677355.15,1555,1056,372948,435.59816720257237
2011-06,660046.05,1393,991,363014,473.8306173725772
2011-07,598962.901,1331,949,367372,450.0096927122464
2011-08,644051.04,1281,935,398190,502.7720843091335
2011-09,950690.202,1756,1266,543654,541.3953314350798
2011-10,1035642.45,1929,1364,591551,536.8804821150856
2011-11,1156205.61,2658,1665,678760,434.9908239277653
2011-12,517190.44,778,615,286777,664.769203084833
