StockCode,Description,TotalRevenue,TotalQuantity,OrderCount
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1
22423,REGENCY CAKESTAND 3 TIER,142264.75,12384,1704
85123A,WHITE HANGING HEART T-LIGHT HOLDER,100392.1,36706,1971
85099B,JUMBO BAG RED RETROSPOT,85040.54000000001,46078,1600
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916,195
POST,POSTAGE,77803.96,3120,1099
47566,PARTY BUNTING,68785.23000000001,15283,1380
84879,ASSORTED COLOUR BIRD ORNAMENT,56413.03,35263,1375
M,Manual,53419.93,6939,258
23084,RABBIT NIGHT LIGHT,51251.24,27153,801
79321,CHILLI LIGHTS,46265.11,9646,519
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,42584.130000000005,15591,980
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2
21137,BLACK RECORD COVER FRAME,39045.8,11401,313
22386,JUMBO BAG PINK POLKADOT,37254.36,20148,871
23284,DOORMAT KEEP CALM AND COME IN,35880.85,5338,648
23298,SPOTTY BUNTING,35509.55,7633,1003
82484,WOOD BLACK BOARD ANT WHITE FINISH,34414.71,5913,604
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,33298.3,7010,1146
22960,JAM MAKING SET WITH JARS,32616.22,8151,879
85099F,JUMBO BAG STRAWBERRY,30569.32,16771,654
22178,VICTORIAN GLASS HANGING T-LIGHT,28735.36,22404,815
22470,HEART OF WICKER LARGE,28479.65,9577,801
22469,HEART OF WICKER SMALL,28217.089999999997,16768,961
20725,LUNCH BAG RED RETROSPOT,27868.8,17576,1288
23245,SET OF 3 REGENCY CAKE TINS,26566.280000000002,5844,718
23199,JUMBO BAG APPLES,26426.3,13875,718
22727,ALARM CLOCK BAKELIKE RED ,25868.95,7206,877
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,25639.77,9423,697
20685,DOORMAT RED RETROSPOT,25364.85,3897,576
21175,GIN + TONIC DIET METAL SIGN,24944.88,11501,655
22699,ROSES REGENCY TEACUP AND SAUCER ,24827.25,9119,783
22629,SPACEBOY LUNCH BOX ,24673.14,13908,704
23355,HOT WATER BOTTLE KEEP CALM,24302.550000000003,5313,719
23201,JUMBO BAG ALPHABET,24160.44,12533,752
22457,NATURAL SLATE HEART CHALKBOARD ,24089.170000000002,8427,967
21181,PLEASE ONE PERSON METAL SIGN,23865.820000000003,11932,694
21915,RED  HARMONICA IN BOX ,23756.43,20945,561
85099C,JUMBO  BAG BAROQUE BLACK WHITE,23630.58,12771,649
48138,DOORMAT UNION FLAG,23622.54,3614,516
22112,CHOCOLATE HOT WATER BOTTLE,23584.64,5152,700
22197,POPCORN HOLDER,23417.51,30919,632
23173,REGENCY TEAPOT ROSES ,23033.52,2662,354
22138,BAKING SET 9 PIECE RETROSPOT ,22953.100000000002,4786,854
48187,DOORMAT NEW ENGLAND,22783.8,3698,531
22189,CREAM HEART CARD HOLDER,22687.920000000002,8188,452
21623,VINTAGE UNION JACK MEMOBOARD,22679.28,3252,205
21733,RED HANGING HEART T-LIGHT HOLDER,22595.190000000002,7749,679
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,22109.08,4658,385
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,22101.77,8075,595
21931,JUMBO STORAGE BAG SUKI,21784.84,11513,774
48185,DOORMAT FAIRY CAKE,21171.79,3427,241
22961,JAM MAKING SET PRINTED,21147.55,15039,868
21621,VINTAGE UNION JACK BUNTING,20945.16,2538,391
23202,JUMBO BAG VINTAGE LEAF,20921.55,10695,772
22726,ALARM CLOCK BAKELIKE GREEN,20839.15,5630,789
22666,RECIPE BOX PANTRY YELLOW DESIGN,20838.620000000003,7366,828
15056N,EDWARDIAN PARASOL NATURAL,20672.91,3822,378
23203,JUMBO BAG VINTAGE DOILY ,20641.4,10620,621
22722,SET OF 6 SPICE TINS PANTRY DESIGN,20482.600000000002,5360,653
85066,CREAM SWEETHEART MINI CHEST,20448.17,1696,445
22139,RETROSPOT TEA SET CERAMIC 11 PC ,20426.23,4239,823
21166,COOK WITH WINE METAL SIGN ,20232.13,10169,602
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,20116.38,10490,790
22630,DOLLY GIRL LUNCH BOX,20104.09,11323,616
22111,SCOTTIE DOG HOT WATER BOTTLE,20049.9,4248,656
82482,WOODEN PICTURE FRAME WHITE FINISH,19945.45,8256,876
48194,DOORMAT HEARTS,19924.66,3268,480
21731,RED TOADSTOOL LED NIGHT LIGHT,19831.71,12863,522
22659,LUNCH BOX I LOVE LONDON,19316.17,11075,504
21523,DOORMAT FANCY FONT HOME SWEET HOME,19149.07,3087,397
20713,JUMBO BAG OWLS,19047.02,10451,411
22090,PAPER BUNTING RETROSPOT,18785.99,6901,568
22728,ALARM CLOCK BAKELIKE PINK,18539.09,5066,613
21929,JUMBO BAG PINK VINTAGE PAISLEY,18427.9,9888,602
23206,LUNCH BAG APPLE DESIGN,18220.5,11530,866
20727,LUNCH BAG  BLACK SKULL.,17950.3,11246,1052
21843,RED RETROSPOT CAKE STAND,17918.8,1808,421
22697,GREEN REGENCY TEACUP AND SAUCER,17735.54,6406,691
23344,JUMBO BAG 50'S CHRISTMAS ,17636.04,8933,586
82494L,WOODEN FRAME ANTIQUE WHITE ,17583.77,6268,811
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,17569.59,6469,458
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,17554.27,7892,305
22969,HOMEMADE JAM SCENTED CANDLES,17504.2,12080,518
22467,GUMBALL COAT RACK,17488.55,7652,570
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,17291.57,10070,192
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17226.2,15940,239
20728,LUNCH BAG CARS BLUE,17214.53,10789,966
23203,JUMBO BAG DOILEY PATTERNS,16737.1,8735,454
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,16566.34,5654,221
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,16537.13,5871,763
21212,PACK OF 72 RETROSPOT CAKE CASES,16381.880000000001,33670,1029
22384,LUNCH BAG PINK POLKADOT,16303.3,10226,931
22865,HAND WARMER OWL DESIGN,16113.730000000001,8056,572
15036,ASSORTED COLOURS SILK FAN,16044.44,21876,324
22492,MINI PAINT SET VINTAGE ,16039.240000000002,26076,325
21485,RETROSPOT HEART HOT WATER BOTTLE,15827.18,3326,533
22382,LUNCH BAG SPACEBOY DESIGN ,15820.15,9875,988
20712,JUMBO BAG WOODLAND ANIMALS,15511.6,8187,492
21754,HOME BUILDING BLOCK WORD,15504.51,2633,691
85152,HAND OVER THE CHOCOLATE   SIGN ,15484.51,8138,590
22114,HOT WATER BOTTLE TEA AND SYMPATHY,15386.07,3729,514
22383,LUNCH BAG SUKI DESIGN ,15332.9,9570,899
22385,JUMBO BAG SPACEBOY DESIGN,15320.75,8243,478
15056BL,EDWARDIAN PARASOL BLACK,15218.67,2779,291
84946,ANTIQUE SILVER T-LIGHT GLASS,15176.42,12949,534
22077,6 RIBBONS RUSTIC CHARM,14969.839999999998,8594,726
22698,PINK REGENCY TEACUP AND SAUCER,14663.29,5307,556
22624,IVORY KITCHEN SCALES,14638.73,1765,620
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14626.73,7754,451
82483,WOOD 2 DRAWER CABINET WHITE FINISH,14573.720000000001,2324,509
20726,LUNCH BAG WOODLAND,14497.51,9091,820
22993,SET OF 4 PANTRY JELLY MOULDS,14151.42,11769,866
22197,SMALL POPCORN HOLDER,13789.369999999999,18241,403
84997D,CHILDRENS CUTLERY POLKADOT PINK,13788.300000000001,3528,323
22835,HOT WATER BOTTLE I AM SO POORLY,13685.130000000001,2939,505
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13558.409999999998,54319,472
48184,DOORMAT ENGLISH ROSE ,13447.1,1972,356
22084,PAPER CHAIN KIT EMPIRE,13411.550000000001,4885,374
84029E,RED WOOLLY HOTTIE WHITE HEART.,13311.26,3676,321
22847,BREAD BIN DINER STYLE IVORY,13131.89,847,341
22622,BOX OF VINTAGE ALPHABET BLOCKS,13035.66,1295,231
23200,JUMBO BAG PEARS,13034.92,6729,470
84078A,SET/4 WHITE RETRO STORAGE CUBES ,13007.150000000001,357,106
23108,SET OF 10 LED DOLLY LIGHTS,12972.73,2192,351
23313,VINTAGE CHRISTMAS BUNTING,12960.12,2748,359
23356,LOVE HOT WATER BOTTLE,12954.75,2325,449
82583,HOT BATHS METAL SIGN,12731.34,6367,385
84978,HANGING HEART JAR T-LIGHT HOLDER,12650.970000000001,10961,572
22752,SET 7 BABUSHKA NESTING BOXES,12639.79,1651,297
22558,CLOTHES PEGS RETROSPOT PACK 24 ,12525.21,8405,639
23301,GARDENERS KNEELING PAD KEEP CALM ,12463.779999999999,7722,756
22507,MEMO BOARD RETROSPOT  DESIGN,12411.02,2786,348
22188,BLACK HEART CARD HOLDER,12257.95,4843,166
20750,RED RETROSPOT MINI CASES,12208.85,1711,365
22866,HAND WARMER SCOTTY DOG DESIGN,12204.660000000002,6097,471
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,12160.08,1706,304
22113,GREY HEART HOT WATER BOTTLE,12148.9,3145,511
22551,PLASTERS IN TIN SPACEBOY,12138.599999999999,7656,579
22941,CHRISTMAS LIGHTS 10 REINDEER,12133.0,1570,253
20749,ASSORTED COLOUR MINI CASES,12107.51,1717,365
22867,HAND WARMER BIRD DESIGN,12064.630000000001,5993,474
21524,DOORMAT SPOTTY HOME SWEET HOME,12055.32,1657,405
23207,LUNCH BAG ALPHABET DESIGN,11994.41,7533,647
22083,PAPER CHAIN KIT RETROSPOT,11935.310000000001,4265,444
22379,RECYCLING BAG RETROSPOT ,11913.03,6074,407
DOT,DOTCOM POSTAGE,11906.36,16,16
22625,RED KITCHEN SCALES,11836.23,1471,449
22568,FELTCRAFT CUSHION OWL,11756.8,3277,417
22273,FELTCRAFT DOLL MOLLY,11748.24,4464,293
47590B,PINK HAPPY BIRTHDAY BUNTING,11666.35,2283,359
22554,PLASTERS IN TIN WOODLAND ANIMALS,11620.929999999998,7297,587
20971,PINK BLUE FELT CRAFT TRINKET BOX,11619.39,10217,457
23077,DOUGHNUT LIP GLOSS ,11615.7,9642,308
21977,PACK OF 60 PINK PAISLEY CAKE CASES,11611.0,24230,669
23174,REGENCY SUGAR BOWL GREEN,11567.24,2954,268
22607,WOODEN ROUNDERS GARDEN SET ,11561.34,1265,303
22149,FELTCRAFT 6 FLOWER FRIENDS,11549.59,5882,461
